data,count,response 
2017-04-18,1,internals 
2017-03-16,2,internals 
2017-02-16,2,internals 
2017-01-04,1,internals 
2016-11-16,1,internals 
2016-10-27,2,internals 
2016-10-11,3,internals 
2016-09-24,1,internals 
2016-09-05,1,internals 
2016-08-11,1,internals 
2016-07-26,1,internals 
2016-07-25,1,internals 
2016-07-15,2,internals 
2016-07-14,1,internals 
2016-06-23,1,internals 
2016-06-16,1,internals 
2016-06-06,1,internals 
2016-05-28,1,internals 
2016-05-25,1,internals 
2016-05-18,1,internals 
2016-04-29,1,internals 
2016-04-28,1,internals 
2016-04-27,1,internals 
2016-04-26,1,internals 
2016-04-20,1,internals 
2016-03-31,1,internals 
2016-03-28,1,internals 
2016-03-17,1,internals 
2016-03-03,2,internals 
2016-03-02,1,internals 
2016-02-18,1,internals 
2016-02-02,1,internals 
2016-01-28,1,internals 
2016-01-05,2,internals 
2015-12-23,1,internals 
2015-11-18,1,internals 
2015-11-05,3,internals 
2015-10-23,1,internals 
2015-10-20,1,internals 
2015-09-07,1,internals 
2015-09-02,1,internals 
2015-08-20,1,internals 
2015-07-17,1,internals 
2015-06-30,1,internals 
2015-06-02,1,internals 
2015-05-27,1,internals 
2015-05-21,1,internals 
2015-05-20,1,internals 
2015-03-25,1,internals 
2015-03-24,1,internals 
2015-03-19,1,internals 
2015-03-11,1,internals 
2015-02-06,1,internals 
2015-02-04,1,internals 
2015-01-22,1,internals 
2015-01-20,1,internals 
2015-01-14,1,internals 
2014-12-12,1,internals 
2014-12-11,2,internals 
2014-12-09,1,internals 
2014-12-07,1,internals 
2014-12-01,1,internals 
2014-11-11,1,internals 
2014-11-04,1,internals 
2014-10-28,1,internals 
2014-08-25,1,internals 
2014-08-17,1,internals 
2014-08-01,1,internals 
2014-07-10,1,internals 
2014-06-21,2,internals 
2014-05-21,1,internals 
2014-05-10,1,internals 
2014-05-08,1,internals 
2014-04-23,1,internals 
2014-03-18,1,internals 
2014-03-09,1,internals 
2014-02-25,1,internals 
2014-02-21,1,internals 
2014-02-14,1,internals 
2014-01-26,1,internals 
2014-01-25,1,internals 
2014-01-17,1,internals 
2014-01-14,1,internals 
2014-01-13,1,internals 
2013-12-16,1,internals 
2013-12-11,1,internals 
2013-12-10,1,internals 
2013-12-04,1,internals 
2013-11-15,1,internals 
2013-11-11,1,internals 
2013-11-08,1,internals 
2013-10-31,1,internals 
2013-10-21,1,internals 
2013-10-09,1,internals 
2013-10-05,1,internals 
2013-10-02,1,internals 
2013-09-27,2,internals 
2013-09-25,1,internals 
2013-09-18,1,internals 
2013-09-04,1,internals 
2013-08-23,1,internals 
2013-08-16,1,internals 
2013-07-21,1,internals 
2013-07-18,1,internals 
2013-07-09,1,internals 
2013-07-02,1,internals 
2013-06-10,1,internals 
2013-04-10,1,internals 
2013-04-03,1,internals 
2013-04-01,1,internals 
2013-03-28,1,internals 
2013-03-27,1,internals 
2013-03-26,1,internals 
2013-03-22,1,internals 
2013-03-21,1,internals 
2013-03-16,1,internals 
2013-03-15,4,internals 
2013-03-13,1,internals 
2013-03-12,1,internals 
2013-03-07,2,internals 
2013-03-05,2,internals 
2013-02-28,1,internals 
2013-02-20,1,internals 
2013-02-05,1,internals 
2013-01-25,1,internals 
2013-01-23,1,internals 
2013-01-18,1,internals 
2013-01-09,1,internals 
2012-12-18,1,internals 
2012-12-05,1,internals 
2012-10-12,1,internals 
2012-10-09,1,internals 
2012-10-04,2,internals 
2012-09-13,1,internals 
2012-08-15,1,internals 
2012-08-03,1,internals 
2012-06-12,1,internals 
2012-05-30,1,internals 
2017-06-25,1,externals 
2017-06-20,2,externals 
2017-06-05,1,externals 
2017-06-04,1,externals 
2017-06-01,2,externals 
2017-05-19,1,externals 
2017-05-15,1,externals 
2017-05-13,1,externals 
2017-05-04,1,externals 
2017-04-27,1,externals 
2017-04-19,1,externals 
2017-04-03,1,externals 
2017-03-28,1,externals 
2017-03-23,1,externals 
2017-03-13,3,externals 
2017-03-05,2,externals 
2017-02-13,1,externals 
2017-02-10,1,externals 
2017-02-05,2,externals 
2017-02-03,1,externals 
2017-01-26,1,externals 
2017-01-22,1,externals 
2017-01-16,1,externals 
2017-01-15,1,externals 
2017-01-13,1,externals 
2017-01-09,1,externals 
2016-12-30,1,externals 
2016-12-18,2,externals 
2016-12-14,1,externals 
2016-12-13,1,externals 
2016-12-08,1,externals 
2016-12-05,1,externals 
2016-11-28,1,externals 
2016-11-21,1,externals 
2016-11-20,1,externals 
2016-11-10,1,externals 
2016-11-08,1,externals 
2016-10-31,5,externals 
2016-10-28,2,externals 
2016-10-27,1,externals 
2016-10-26,1,externals 
2016-10-25,1,externals 
2016-10-22,2,externals 
2016-10-21,1,externals 
2016-10-20,1,externals 
2016-10-17,1,externals 
2016-10-16,2,externals 
2016-10-14,2,externals 
2016-10-13,1,externals 
2016-10-12,1,externals 
2016-10-11,1,externals 
2016-10-10,1,externals 
2016-10-08,1,externals 
2016-10-06,3,externals 
2016-10-04,4,externals 
2016-10-03,1,externals 
2016-10-02,2,externals 
2016-10-01,4,externals 
2016-09-30,4,externals 
2016-09-29,1,externals 
2016-09-28,9,externals 
2016-09-24,1,externals 
2016-09-23,1,externals 
2016-09-20,1,externals 
2016-09-18,1,externals 
2016-09-12,2,externals 
2016-09-02,1,externals 
2016-09-01,1,externals 
2016-08-31,1,externals 
2016-08-29,1,externals 
2016-08-27,1,externals 
2016-08-25,1,externals 
2016-08-23,1,externals 
2016-08-20,1,externals 
2016-08-19,1,externals 
2016-08-13,1,externals 
2016-08-09,1,externals 
2016-08-02,1,externals 
2016-07-22,1,externals 
2016-07-19,1,externals 
2016-07-13,1,externals 
2016-07-12,1,externals 
2016-07-07,2,externals 
2016-07-05,1,externals 
2016-06-28,1,externals 
2016-06-24,1,externals 
2016-06-23,1,externals 
2016-06-20,1,externals 
2016-06-19,1,externals 
2016-06-13,1,externals 
2016-06-09,1,externals 
2016-06-02,1,externals 
2016-05-23,1,externals 
2016-05-09,1,externals 
2016-05-06,1,externals 
2016-05-05,1,externals 
2016-04-27,1,externals 
2016-04-20,2,externals 
2016-04-08,1,externals 
2016-04-03,1,externals 
2016-04-01,1,externals 
2016-03-30,1,externals 
2016-03-24,1,externals 
2016-03-14,1,externals 
2016-03-12,1,externals 
2016-03-08,2,externals 
2016-03-07,1,externals 
2016-03-06,2,externals 
2016-03-05,2,externals 
2016-03-02,3,externals 
2016-02-28,1,externals 
2016-02-26,1,externals 
2016-02-24,2,externals 
2016-02-18,1,externals 
2016-02-17,1,externals 
2016-02-15,1,externals 
2016-02-14,1,externals 
2016-02-04,2,externals 
2016-01-31,1,externals 
2016-01-25,1,externals 
2016-01-20,1,externals 
2016-01-19,1,externals 
2016-01-15,2,externals 
2016-01-12,1,externals 
2016-01-11,1,externals 
2016-01-10,3,externals 
2016-01-08,1,externals 
2016-01-03,1,externals 
2015-12-29,1,externals 
2015-12-28,1,externals 
2015-12-18,1,externals 
2015-12-16,1,externals 
2015-12-15,1,externals 
2015-12-14,1,externals 
2015-12-12,1,externals 
2015-12-11,2,externals 
2015-12-03,1,externals 
2015-12-02,1,externals 
2015-11-28,1,externals 
2015-11-27,1,externals 
2015-11-23,1,externals 
2015-11-22,1,externals 
2015-11-20,1,externals 
2015-11-14,1,externals 
2015-11-07,1,externals 
2015-11-06,1,externals 
2015-11-05,1,externals 
2015-11-04,2,externals 
2015-11-02,1,externals 
2015-11-01,1,externals 
2015-10-31,3,externals 
2015-10-30,2,externals 
2015-10-28,1,externals 
2015-10-27,2,externals 
2015-10-23,1,externals 
2015-10-22,1,externals 
2015-10-21,1,externals 
2015-10-20,1,externals 
2015-10-19,1,externals 
2015-10-18,2,externals 
2015-10-17,2,externals 
2015-10-16,1,externals 
2015-10-08,1,externals 
2015-10-07,2,externals 
2015-10-06,1,externals 
2015-10-05,1,externals 
2015-10-04,1,externals 
2015-10-03,1,externals 
2015-10-02,1,externals 
2015-09-30,5,externals 
2015-09-29,1,externals 
2015-09-27,1,externals 
2015-09-24,2,externals 
2015-09-19,2,externals 
2015-09-18,1,externals 
2015-09-17,2,externals 
2015-09-16,1,externals 
2015-09-14,1,externals 
2015-09-10,2,externals 
2015-09-07,2,externals 
2015-09-06,2,externals 
2015-09-02,2,externals 
2015-09-01,3,externals 
2015-08-30,1,externals 
2015-08-28,2,externals 
2015-08-27,1,externals 
2015-08-26,3,externals 
2015-08-23,1,externals 
2015-08-16,1,externals 
2015-08-15,1,externals 
2015-08-10,1,externals 
2015-08-05,1,externals 
2015-08-01,2,externals 
2015-07-27,1,externals 
2015-07-22,1,externals 
2015-07-21,1,externals 
2015-07-19,2,externals 
2015-07-16,2,externals 
2015-07-15,1,externals 
2015-07-13,2,externals 
2015-07-10,1,externals 
2015-07-07,1,externals 
2015-07-05,2,externals 
2015-07-04,1,externals 
2015-07-03,1,externals 
2015-06-29,1,externals 
2015-06-26,2,externals 
2015-06-21,1,externals 
2015-06-17,1,externals 
2015-06-15,1,externals 
2015-06-09,1,externals 
2015-06-07,1,externals 
2015-06-03,2,externals 
2015-05-30,1,externals 
2015-05-28,1,externals 
2015-05-26,2,externals 
2015-05-20,2,externals 
2015-05-18,1,externals 
2015-05-14,2,externals 
2015-05-13,1,externals 
2015-05-11,1,externals 
2015-05-07,1,externals 
2015-05-06,1,externals 
2015-05-05,1,externals 
2015-05-04,1,externals 
2015-04-29,1,externals 
2015-04-24,1,externals 
2015-04-23,1,externals 
2015-04-20,1,externals 
2015-04-17,1,externals 
2015-04-15,1,externals 
2015-04-14,1,externals 
2015-04-12,1,externals 
2015-04-06,1,externals 
2015-04-03,1,externals 
2015-03-25,2,externals 
2015-03-24,1,externals 
2015-03-23,1,externals 
2015-03-22,1,externals 
2015-03-20,1,externals 
2015-03-15,1,externals 
2015-03-10,1,externals 
2015-03-09,1,externals 
2015-03-07,2,externals 
2015-03-04,1,externals 
2015-03-03,3,externals 
2015-02-26,1,externals 
2015-02-25,1,externals 
2015-02-23,1,externals 
2015-02-20,2,externals 
2015-02-17,1,externals 
2015-02-14,1,externals 
2015-02-12,1,externals 
2015-02-11,2,externals 
2015-02-08,1,externals 
2015-02-07,1,externals 
2015-02-06,3,externals 
2015-02-05,2,externals 
2015-02-02,1,externals 
2015-02-01,1,externals 
2015-01-31,1,externals 
2015-01-19,1,externals 
2015-01-14,1,externals 
2015-01-07,1,externals 
2015-01-02,1,externals 
2014-12-27,1,externals 
2014-12-22,1,externals 
2014-12-21,1,externals 
2014-12-15,1,externals 
2014-12-13,2,externals 
2014-12-08,1,externals 
2014-12-07,1,externals 
2014-12-02,1,externals 
2014-11-30,2,externals 
2014-11-29,1,externals 
2014-11-21,2,externals 
2014-11-20,1,externals 
2014-11-09,1,externals 
2014-11-07,3,externals 
2014-10-29,1,externals 
2014-10-28,1,externals 
2014-10-25,1,externals 
2014-10-16,2,externals 
2014-10-15,1,externals 
2014-10-13,1,externals 
2014-10-12,1,externals 
2014-10-07,3,externals 
2014-09-30,2,externals 
2014-09-18,1,externals 
2014-09-17,2,externals 
2014-09-15,1,externals 
2014-09-07,1,externals 
2014-09-06,1,externals 
2014-09-01,1,externals 
2014-08-28,2,externals 
2014-08-25,1,externals 
2014-08-18,2,externals 
2014-08-15,2,externals 
2014-08-14,1,externals 
2014-08-13,1,externals 
2014-08-12,1,externals 
2014-08-05,1,externals 
2014-08-03,1,externals 
2014-07-31,1,externals 
2014-07-25,3,externals 
2014-07-23,2,externals 
2014-07-21,1,externals 
2014-07-20,1,externals 
2014-07-15,1,externals 
2014-07-14,1,externals 
2014-07-10,3,externals 
2014-07-09,1,externals 
2014-07-08,1,externals 
2014-07-06,2,externals 
2014-07-05,1,externals 
2014-07-02,2,externals 
2014-06-27,1,externals 
2014-06-23,1,externals 
2014-06-18,1,externals 
2014-06-16,1,externals 
2014-06-15,1,externals 
2014-06-14,1,externals 
2014-06-10,1,externals 
2014-06-08,2,externals 
2014-06-05,1,externals 
2014-06-01,1,externals 
2014-05-31,1,externals 
2014-05-30,1,externals 
2014-05-29,1,externals 
2014-05-28,1,externals 
2014-05-27,1,externals 
2014-05-26,1,externals 
2014-05-25,2,externals 
2014-05-24,1,externals 
2014-05-23,5,externals 
2014-05-22,3,externals 
2014-05-21,2,externals 
2014-05-20,2,externals 
2014-05-19,1,externals 
2014-05-17,2,externals 
2014-05-16,3,externals 
2014-05-15,1,externals 
2014-05-14,3,externals 
2014-05-13,2,externals 
2014-05-12,1,externals 
2014-05-10,1,externals 
2014-05-09,3,externals 
2014-05-08,3,externals 
2014-05-07,4,externals 
2014-05-06,6,externals 
2014-02-28,1,externals 
2013-11-22,1,externals 
2013-10-14,1,externals 
2013-10-11,1,externals 
2013-09-17,1,externals 
2013-08-14,1,externals 
2013-08-13,1,externals 
2013-07-19,1,externals 
2013-03-01,1,externals 
2013-02-27,1,externals 
2013-02-21,1,externals 
2013-01-18,2,externals 
2013-01-17,1,externals 
2013-01-16,1,externals 
2012-11-02,1,externals 
2012-10-06,1,externals 
2012-09-30,1,externals 
