data,count,response 
2016-03-22,1,internals 
2016-03-17,1,internals 
2016-03-14,2,internals 
2016-03-13,1,internals 
2016-03-11,1,internals 
2016-03-09,1,internals 
2016-03-08,2,internals 
2016-03-07,1,internals 
2016-03-04,7,internals 
2016-03-03,2,internals 
2016-03-01,3,internals 
2016-02-29,3,internals 
2016-02-26,1,internals 
2016-02-25,3,internals 
2016-02-24,1,internals 
2016-02-23,1,internals 
2016-02-22,3,internals 
2016-02-18,5,internals 
2016-02-17,7,internals 
2016-02-16,4,internals 
2016-02-15,2,internals 
2016-02-14,1,internals 
2016-02-13,1,internals 
2016-02-12,5,internals 
2016-02-11,1,internals 
2016-02-10,2,internals 
2016-02-09,3,internals 
2016-02-05,3,internals 
2016-02-04,1,internals 
2016-02-03,1,internals 
2016-02-02,2,internals 
2016-02-01,3,internals 
2016-01-27,1,internals 
2016-01-25,1,internals 
2016-01-22,1,internals 
2016-01-20,1,internals 
2016-01-19,1,internals 
2016-01-17,1,internals 
2016-01-15,1,internals 
2016-01-14,1,internals 
2016-01-12,1,internals 
2016-01-11,3,internals 
2016-01-08,1,internals 
2016-01-07,3,internals 
2016-01-05,1,internals 
2016-01-04,1,internals 
2016-01-01,2,internals 
2015-12-30,2,internals 
2015-12-24,1,internals 
2015-12-19,1,internals 
2015-12-16,2,internals 
2015-12-15,2,internals 
2015-12-12,1,internals 
2015-12-11,3,internals 
2015-12-10,2,internals 
2015-12-08,1,internals 
2015-12-07,2,internals 
2015-12-05,1,internals 
2015-12-03,2,internals 
2015-11-30,1,internals 
2015-11-26,1,internals 
2015-11-24,3,internals 
2015-11-23,1,internals 
2015-11-21,2,internals 
2015-11-20,2,internals 
2015-11-18,6,internals 
2015-11-16,1,internals 
2015-11-13,1,internals 
2015-11-12,1,internals 
2015-11-11,2,internals 
2015-11-10,3,internals 
2015-11-09,1,internals 
2015-11-07,2,internals 
2015-11-06,3,internals 
2015-11-05,1,internals 
2015-11-04,2,internals 
2015-11-03,2,internals 
2015-11-01,1,internals 
2015-10-29,1,internals 
2015-10-28,1,internals 
2015-10-24,1,internals 
2015-10-22,1,internals 
2015-10-21,5,internals 
2015-10-20,2,internals 
2015-10-19,1,internals 
2015-10-17,1,internals 
2015-10-16,2,internals 
2015-10-15,1,internals 
2015-10-14,1,internals 
2015-10-13,1,internals 
2015-10-12,1,internals 
2015-10-09,1,internals 
2015-10-07,1,internals 
2015-10-05,1,internals 
2015-09-29,2,internals 
2015-09-28,1,internals 
2015-09-25,1,internals 
2015-09-24,3,internals 
2015-09-23,2,internals 
2015-09-22,2,internals 
2015-09-21,1,internals 
2015-09-19,1,internals 
2015-09-18,3,internals 
2015-09-17,2,internals 
2015-09-16,3,internals 
2015-09-14,3,internals 
2015-09-09,2,internals 
2015-09-08,1,internals 
2015-09-07,1,internals 
2015-09-05,1,internals 
2015-09-04,1,internals 
2015-09-03,5,internals 
2015-09-02,1,internals 
2015-09-01,4,internals 
2015-08-31,2,internals 
2015-08-28,3,internals 
2015-08-27,3,internals 
2015-08-26,3,internals 
2015-08-25,1,internals 
2015-08-24,1,internals 
2015-08-22,1,internals 
2015-08-21,2,internals 
2015-08-19,3,internals 
2015-08-18,1,internals 
2015-08-13,3,internals 
2015-08-12,1,internals 
2015-08-11,2,internals 
2015-08-10,2,internals 
2015-08-06,3,internals 
2015-08-04,2,internals 
2015-08-01,1,internals 
2015-07-31,1,internals 
2015-07-29,5,internals 
2015-07-28,4,internals 
2015-07-27,3,internals 
2015-07-23,2,internals 
2015-07-21,1,internals 
2015-07-18,1,internals 
2015-07-17,2,internals 
2015-07-13,1,internals 
2015-07-09,1,internals 
2015-07-08,6,internals 
2015-07-07,6,internals 
2015-07-06,2,internals 
2015-07-05,1,internals 
2015-07-01,3,internals 
2015-06-30,1,internals 
2015-06-29,3,internals 
2015-06-22,2,internals 
2015-06-20,1,internals 
2015-06-19,2,internals 
2015-06-18,1,internals 
2015-06-17,2,internals 
2015-06-15,2,internals 
2015-06-12,1,internals 
2015-06-11,1,internals 
2015-06-10,1,internals 
2015-06-09,4,internals 
2015-06-08,2,internals 
2015-06-05,5,internals 
2015-06-04,1,internals 
2015-06-03,1,internals 
2015-06-02,1,internals 
2015-06-01,3,internals 
2015-05-31,1,internals 
2015-05-30,1,internals 
2015-05-29,2,internals 
2015-05-28,2,internals 
2015-05-27,3,internals 
2015-05-21,1,internals 
2015-05-20,2,internals 
2015-05-18,1,internals 
2015-05-14,3,internals 
2015-05-12,5,internals 
2015-05-11,3,internals 
2015-05-08,2,internals 
2015-05-07,3,internals 
2015-05-06,1,internals 
2015-05-04,1,internals 
2015-04-30,1,internals 
2015-04-29,3,internals 
2015-04-28,3,internals 
2015-04-27,1,internals 
2015-04-26,1,internals 
2015-04-24,1,internals 
2015-04-22,2,internals 
2015-04-21,3,internals 
2015-04-20,1,internals 
2015-04-18,1,internals 
2015-04-16,1,internals 
2015-04-15,2,internals 
2015-04-14,3,internals 
2015-04-13,2,internals 
2015-04-10,1,internals 
2015-04-09,1,internals 
2015-04-08,2,internals 
2015-04-07,5,internals 
2015-04-06,3,internals 
2015-04-04,1,internals 
2015-04-03,3,internals 
2015-04-02,2,internals 
2015-04-01,2,internals 
2015-03-27,1,internals 
2015-03-26,2,internals 
2015-03-25,2,internals 
2015-03-23,1,internals 
2015-03-19,5,internals 
2015-03-17,2,internals 
2015-03-16,2,internals 
2015-03-13,2,internals 
2015-03-12,2,internals 
2015-03-11,1,internals 
2015-03-09,1,internals 
2015-03-05,5,internals 
2015-03-04,1,internals 
2015-03-03,2,internals 
2015-02-27,1,internals 
2015-02-26,5,internals 
2015-02-25,2,internals 
2015-02-24,4,internals 
2015-02-22,1,internals 
2015-02-19,3,internals 
2015-02-18,3,internals 
2015-02-17,1,internals 
2015-02-15,1,internals 
2015-02-12,3,internals 
2015-02-11,2,internals 
2015-02-10,1,internals 
2015-02-08,1,internals 
2015-02-05,2,internals 
2015-02-04,2,internals 
2015-02-03,3,internals 
2015-02-01,1,internals 
2015-01-30,1,internals 
2015-01-28,2,internals 
2015-01-27,1,internals 
2015-01-23,1,internals 
2015-01-22,1,internals 
2015-01-21,1,internals 
2015-01-20,2,internals 
2015-01-15,2,internals 
2015-01-14,2,internals 
2015-01-12,1,internals 
2015-01-10,2,internals 
2015-01-09,2,internals 
2015-01-08,2,internals 
2015-01-07,2,internals 
2015-01-06,1,internals 
2015-01-03,1,internals 
2015-01-02,1,internals 
2014-12-31,1,internals 
2014-12-30,2,internals 
2014-12-29,4,internals 
2014-12-27,1,internals 
2014-12-24,2,internals 
2014-12-23,1,internals 
2014-12-18,1,internals 
2014-12-17,1,internals 
2014-12-16,2,internals 
2014-12-13,1,internals 
2014-12-11,2,internals 
2014-12-09,2,internals 
2014-12-08,1,internals 
2014-12-05,3,internals 
2014-12-02,2,internals 
2014-11-28,1,internals 
2014-11-26,2,internals 
2014-11-25,2,internals 
2014-11-22,1,internals 
2014-11-20,4,internals 
2014-11-19,4,internals 
2014-11-18,3,internals 
2014-11-17,2,internals 
2014-11-15,1,internals 
2014-11-14,3,internals 
2014-11-13,1,internals 
2014-11-12,2,internals 
2014-11-11,4,internals 
2014-11-10,1,internals 
2014-11-09,1,internals 
2014-11-08,1,internals 
2014-11-07,2,internals 
2014-11-05,2,internals 
2014-10-31,1,internals 
2014-10-30,1,internals 
2014-10-29,1,internals 
2014-10-28,1,internals 
2014-10-27,1,internals 
2014-10-26,1,internals 
2014-10-24,1,internals 
2014-10-23,2,internals 
2014-10-21,3,internals 
2014-10-20,1,internals 
2014-10-17,2,internals 
2014-10-16,2,internals 
2014-10-14,2,internals 
2014-10-08,2,internals 
2014-10-07,1,internals 
2014-10-06,2,internals 
2014-10-01,2,internals 
2014-09-30,3,internals 
2014-09-29,2,internals 
2014-09-25,2,internals 
2014-09-24,2,internals 
2014-09-22,1,internals 
2014-09-19,1,internals 
2014-09-18,1,internals 
2014-09-17,3,internals 
2014-09-15,1,internals 
2014-09-12,1,internals 
2014-09-11,2,internals 
2014-09-08,1,internals 
2014-09-06,1,internals 
2014-09-05,2,internals 
2014-09-04,5,internals 
2014-09-03,2,internals 
2014-09-01,1,internals 
2014-08-28,1,internals 
2014-08-27,1,internals 
2014-08-26,1,internals 
2014-08-24,1,internals 
2014-08-22,2,internals 
2014-08-19,1,internals 
2014-08-15,1,internals 
2014-08-14,1,internals 
2014-08-13,2,internals 
2014-08-12,2,internals 
2014-08-11,1,internals 
2014-08-09,1,internals 
2014-08-07,1,internals 
2014-08-03,1,internals 
2014-08-01,1,internals 
2014-07-29,2,internals 
2014-07-28,1,internals 
2014-07-25,1,internals 
2014-07-24,1,internals 
2014-07-22,2,internals 
2014-07-21,1,internals 
2014-07-18,1,internals 
2014-07-15,2,internals 
2014-07-14,2,internals 
2014-07-13,1,internals 
2014-07-10,1,internals 
2014-07-09,1,internals 
2014-07-08,3,internals 
2014-07-07,6,internals 
2014-07-04,1,internals 
2014-07-03,1,internals 
2014-07-02,1,internals 
2014-07-01,2,internals 
2014-06-30,1,internals 
2014-06-29,1,internals 
2014-06-28,1,internals 
2014-06-27,1,internals 
2014-06-26,2,internals 
2014-06-25,1,internals 
2014-06-24,1,internals 
2014-06-21,1,internals 
2014-06-20,3,internals 
2014-06-19,3,internals 
2014-06-18,1,internals 
2014-06-16,3,internals 
2014-06-13,2,internals 
2014-06-11,2,internals 
2014-06-10,1,internals 
2014-06-06,2,internals 
2014-06-04,1,internals 
2014-06-03,2,internals 
2014-06-02,1,internals 
2014-06-01,1,internals 
2014-05-31,1,internals 
2014-05-30,3,internals 
2014-05-29,1,internals 
2014-05-28,1,internals 
2014-05-27,1,internals 
2014-05-24,1,internals 
2014-05-23,2,internals 
2014-05-22,4,internals 
2014-05-21,2,internals 
2014-05-20,2,internals 
2014-05-19,1,internals 
2014-05-15,3,internals 
2014-05-14,1,internals 
2014-05-12,1,internals 
2014-05-08,2,internals 
2014-05-07,1,internals 
