data,count,response 
11547,0,internals 
11544,0,internals 
10895,0,internals 
346,2,internals 
3997,14,internals 
965,4,internals 
13602,2,internals 
13600,1,internals 
13606,3,internals 
13605,0,internals 
2319,0,internals 
2317,5,internals 
5858,2,internals 
293,8,internals 
4023,1,internals 
270,0,internals 
271,9,internals 
272,1,internals 
6291,0,internals 
13543,11,internals 
278,6,internals 
6359,3,internals 
13549,0,internals 
11762,1,internals 
11761,0,internals 
11767,0,internals 
11765,0,internals 
10708,2,internals 
9529,2,internals 
9524,2,internals 
107,1,internals 
7869,2,internals 
4812,0,internals 
2045,0,internals 
11616,0,internals 
11614,0,internals 
11615,0,internals 
9419,0,internals 
12123,1,internals 
12125,5,internals 
12529,1,internals 
14331,0,internals 
14135,1,internals 
14136,0,internals 
14137,0,internals 
9633,0,internals 
3519,2,internals 
8945,1,internals 
3517,8,internals 
6205,0,internals 
12230,0,internals 
12233,0,internals 
12232,0,internals 
2681,4,internals 
14621,0,internals 
2739,0,internals 
99,1,internals 
98,1,internals 
91,1,internals 
94,0,internals 
97,0,internals 
1623,0,internals 
1622,1,internals 
10095,0,internals 
5189,0,internals 
559,0,internals 
2865,0,internals 
2867,0,internals 
552,0,internals 
14718,0,internals 
1191,0,internals 
1190,3,internals 
1192,1,internals 
14391,0,internals 
1757,0,internals 
1756,0,internals 
1753,2,internals 
4259,4,internals 
4258,1,internals 
1174,1,internals 
13940,0,internals 
4250,0,internals 
13945,0,internals 
6979,0,internals 
5534,3,internals 
1284,0,internals 
512,5,internals 
1281,0,internals 
1283,3,internals 
1282,0,internals 
11166,8,internals 
11162,0,internals 
1578,1,internals 
1572,0,internals 
687,1,internals 
1000,3,internals 
681,5,internals 
1575,0,internals 
8548,4,internals 
8547,0,internals 
8010,1,internals 
5628,3,internals 
4380,0,internals 
1371,6,internals 
1373,0,internals 
1375,2,internals 
1374,0,internals 
400,1,internals 
1379,7,internals 
1378,0,internals 
1219,1,internals 
10764,4,internals 
3830,2,internals 
10885,3,internals 
5993,0,internals 
10888,3,internals 
13604,1,internals 
390,0,internals 
10972,0,internals 
6785,0,internals 
10975,0,internals 
6789,1,internals 
13616,29,internals 
5846,4,internals 
5843,2,internals 
11280,2,internals 
11286,2,internals 
3746,0,internals 
244,4,internals 
246,4,internals 
241,0,internals 
240,6,internals 
243,0,internals 
13539,2,internals 
7717,4,internals 
12008,1,internals 
11750,6,internals 
9249,0,internals 
9248,0,internals 
3454,0,internals 
9539,7,internals 
2457,22,internals 
9244,0,internals 
13289,0,internals 
178,0,internals 
177,3,internals 
172,7,internals 
170,0,internals 
4827,0,internals 
13441,0,internals 
14166,0,internals 
6368,3,internals 
11627,0,internals 
11628,0,internals 
6365,0,internals 
9333,2,internals 
10409,0,internals 
10395,4,internals 
3528,0,internals 
7218,0,internals 
13545,3,internals 
14897,0,internals 
14895,0,internals 
14893,3,internals 
10712,4,internals 
2692,0,internals 
14657,28,internals 
14096,0,internals 
1607,1,internals 
7324,4,internals 
3230,0,internals 
7320,8,internals 
1618,6,internals 
10084,1,internals 
1617,1,internals 
7329,24,internals 
1610,0,internals 
8848,2,internals 
6777,3,internals 
13268,2,internals 
3355,36,internals 
14271,1,internals 
14276,0,internals 
3353,2,internals 
802,1,internals 
5448,2,internals 
1762,15,internals 
1760,0,internals 
1142,0,internals 
6960,0,internals 
1140,0,internals 
1146,1,internals 
1147,1,internals 
1145,2,internals 
8624,0,internals 
1148,0,internals 
1149,0,internals 
1547,5,internals 
1544,0,internals 
1545,0,internals 
1542,0,internals 
1543,1,internals 
699,0,internals 
11115,1,internals 
1549,7,internals 
542,2,internals 
543,0,internals 
540,0,internals 
547,4,internals 
544,1,internals 
7192,3,internals 
7190,0,internals 
13843,0,internals 
13842,2,internals 
8530,5,internals 
12825,0,internals 
12821,0,internals 
8536,2,internals 
12823,0,internals 
5618,0,internals 
7560,0,internals 
14503,0,internals 
11022,1,internals 
6567,3,internals 
6566,5,internals 
5614,1,internals 
416,0,internals 
413,3,internals 
1380,0,internals 
3825,0,internals 
8446,14,internals 
8441,1,internals 
11562,2,internals 
11564,2,internals 
4288,3,internals 
360,4,internals 
13668,0,internals 
10984,0,internals 
13662,0,internals 
4755,0,internals 
13667,0,internals 
5874,0,internals 
5875,7,internals 
5878,0,internals 
9968,19,internals 
11295,1,internals 
13523,1,internals 
4631,1,internals 
13525,3,internals 
252,1,internals 
250,16,internals 
256,0,internals 
257,4,internals 
254,6,internals 
255,4,internals 
12037,0,internals 
11580,2,internals 
6684,5,internals 
9508,5,internals 
9501,0,internals 
9507,1,internals 
6273,0,internals 
6272,0,internals 
168,7,internals 
13290,0,internals 
167,1,internals 
162,0,internals 
3688,3,internals 
13453,5,internals 
4836,1,internals 
6199,1,internals 
2735,0,internals 
6743,0,internals 
11488,3,internals 
5293,12,internals 
5059,0,internals 
9181,0,internals 
1817,2,internals 
1811,0,internals 
7200,0,internals 
1819,0,internals 
8141,0,internals 
6220,1,internals 
12210,0,internals 
12216,0,internals 
6225,4,internals 
10768,0,internals 
14643,0,internals 
14640,2,internals 
8142,6,internals 
14645,2,internals 
14080,5,internals 
1671,0,internals 
10507,0,internals 
13071,4,internals 
13078,0,internals 
3223,0,internals 
7338,2,internals 
8859,3,internals 
11960,7,internals 
803,0,internals 
8852,1,internals 
800,1,internals 
807,0,internals 
806,1,internals 
805,0,internals 
8854,1,internals 
12925,1,internals 
12924,0,internals 
2849,0,internals 
5475,0,internals 
14269,4,internals 
14261,0,internals 
1774,0,internals 
1777,2,internals 
5277,32,internals 
1771,3,internals 
1772,1,internals 
7053,0,internals 
7051,3,internals 
7056,0,internals 
7055,1,internals 
14131,0,internals 
1155,7,internals 
8140,0,internals 
6997,0,internals 
1151,0,internals 
8144,13,internals 
8146,0,internals 
5519,0,internals 
1555,0,internals 
1551,10,internals 
1550,2,internals 
1553,1,internals 
1552,2,internals 
3038,1,internals 
1554,0,internals 
1557,0,internals 
1556,0,internals 
55,11,internals 
11103,3,internals 
14460,1,internals 
11101,1,internals 
3031,0,internals 
3032,23,internals 
1558,0,internals 
12589,0,internals 
10027,1,internals 
12581,0,internals 
8520,3,internals 
8527,0,internals 
9997,13,internals 
11036,7,internals 
6510,2,internals 
429,0,internals 
1398,1,internals 
6333,2,internals 
422,6,internals 
427,4,internals 
3453,15,internals 
3456,5,internals 
13201,0,internals 
11352,2,internals 
3455,1,internals 
12730,0,internals 
12733,0,internals 
13671,0,internals 
6760,7,internals 
9975,0,internals 
9972,0,internals 
227,6,internals 
13516,0,internals 
2189,1,internals 
221,16,internals 
220,3,internals 
8680,4,internals 
12762,0,internals 
6690,10,internals 
6694,1,internals 
151,0,internals 
155,0,internals 
154,7,internals 
158,0,internals 
2431,0,internals 
5936,3,internals 
12119,0,internals 
13460,1,internals 
11641,0,internals 
9420,0,internals 
11642,0,internals 
2502,5,internals 
11646,0,internals 
10178,15,internals 
5282,1,internals 
7234,4,internals 
9192,1,internals 
10379,1,internals 
10377,15,internals 
10375,1,internals 
7949,0,internals 
1803,3,internals 
9514,2,internals 
6239,3,internals 
12207,2,internals 
11829,0,internals 
11828,6,internals 
11826,4,internals 
11820,1,internals 
9773,0,internals 
13080,0,internals 
13241,0,internals 
13247,0,internals 
13246,0,internals 
2859,1,internals 
2858,3,internals 
12937,0,internals 
3206,0,internals 
2851,0,internals 
2850,0,internals 
2852,0,internals 
2855,1,internals 
1491,0,internals 
1492,4,internals 
1493,0,internals 
1497,0,internals 
1498,0,internals 
1499,0,internals 
3338,6,internals 
1700,1,internals 
1701,0,internals 
1702,9,internals 
1706,0,internals 
14183,0,internals 
8608,3,internals 
6987,3,internals 
8601,0,internals 
14459,0,internals 
14695,5,internals 
14694,2,internals 
14697,0,internals 
14693,0,internals 
2982,1,internals 
14698,0,internals 
1019,0,internals 
8732,1,internals 
1011,1,internals 
8730,9,internals 
8041,8,internals 
1237,0,internals 
4196,2,internals 
8933,0,internals 
4192,6,internals 
4191,0,internals 
5678,4,internals 
11001,10,internals 
11006,0,internals 
11009,0,internals 
436,4,internals 
431,0,internals 
11345,6,internals 
11341,0,internals 
8469,3,internals 
558,0,internals 
12445,0,internals 
6431,0,internals 
747,23,internals 
12448,3,internals 
7558,2,internals 
13646,7,internals 
13644,0,internals 
4773,0,internals 
13887,0,internals 
6759,9,internals 
4170,1,internals 
13880,36,internals 
6750,1,internals 
6757,32,internals 
6755,10,internals 
9947,1,internals 
5814,2,internals 
238,7,internals 
239,0,internals 
12056,0,internals 
12059,0,internals 
991,3,internals 
236,0,internals 
13503,0,internals 
232,3,internals 
13507,0,internals 
12697,35,internals 
12694,3,internals 
1,0,internals 
10838,1,internals 
146,8,internals 
14194,2,internals 
13475,3,internals 
13473,0,internals 
8985,2,internals 
8983,0,internals 
7950,0,internals 
10692,0,internals 
10694,0,internals 
9162,13,internals 
1832,0,internals 
1833,0,internals 
1837,0,internals 
6248,19,internals 
12278,5,internals 
939,1,internals 
938,0,internals 
10748,0,internals 
10747,0,internals 
931,2,internals 
10743,3,internals 
5382,20,internals 
10523,0,internals 
5385,33,internals 
11833,0,internals 
9709,4,internals 
8873,1,internals 
3248,0,internals 
14398,1,internals 
3240,8,internals 
12306,0,internals 
13257,0,internals 
10795,0,internals 
1826,2,internals 
13949,1,internals 
12903,27,internals 
10233,2,internals 
1480,13,internals 
1487,0,internals 
1486,7,internals 
1485,1,internals 
1484,7,internals 
1489,2,internals 
797,2,internals 
796,0,internals 
1710,2,internals 
1717,1,internals 
1716,1,internals 
790,0,internals 
799,0,internals 
798,0,internals 
1138,0,internals 
1132,4,internals 
1131,0,internals 
1130,15,internals 
1135,2,internals 
1134,0,internals 
14445,0,internals 
11127,1,internals 
14339,3,internals 
14686,0,internals 
511,7,internals 
510,0,internals 
513,6,internals 
1004,0,internals 
1003,2,internals 
1001,2,internals 
516,1,internals 
4188,0,internals 
8051,0,internals 
8506,1,internals 
10858,1,internals 
4340,0,internals 
2889,0,internals 
11010,0,internals 
11011,0,internals 
8612,5,internals 
3874,0,internals 
1286,2,internals 
8475,1,internals 
8473,1,internals 
12,0,internals 
15,0,internals 
6407,0,internals 
17,5,internals 
16,0,internals 
5717,1,internals 
18,0,internals 
5714,2,internals 
7768,1,internals 
7769,3,internals 
3906,0,internals 
3909,0,internals 
13654,0,internals 
11489,0,internals 
13657,4,internals 
4165,3,internals 
4162,0,internals 
11246,4,internals 
11240,2,internals 
13898,0,internals 
200,2,internals 
202,6,internals 
204,1,internals 
208,2,internals 
2239,1,internals 
11793,0,internals 
11791,1,internals 
10827,1,internals 
10828,0,internals 
7813,0,internals 
3495,15,internals 
4606,0,internals 
3658,11,internals 
226,1,internals 
3655,0,internals 
2524,0,internals 
2522,2,internals 
2708,0,internals 
5068,1,internals 
2702,0,internals 
9177,0,internals 
1824,17,internals 
4406,0,internals 
4407,1,internals 
1821,0,internals 
1822,1,internals 
10758,2,internals 
6114,0,internals 
9575,1,internals 
12262,2,internals 
921,1,internals 
922,2,internals 
923,0,internals 
4971,1,internals 
4973,1,internals 
14835,0,internals 
11804,4,internals 
3276,1,internals 
1921,0,internals 
1923,3,internals 
1924,0,internals 
9711,5,internals 
3470,2,internals 
837,1,internals 
7360,1,internals 
12317,1,internals 
3,1,internals 
11930,2,internals 
12911,0,internals 
14239,0,internals 
7023,0,internals 
7021,2,internals 
7020,6,internals 
5489,0,internals 
5487,2,internals 
786,1,internals 
780,1,internals 
781,1,internals 
1728,0,internals 
783,1,internals 
6575,4,internals 
13135,0,internals 
13138,2,internals 
5624,21,internals 
6477,5,internals 
61,1,internals 
3006,0,internals 
64,0,internals 
69,2,internals 
14309,1,internals 
7797,7,internals 
1583,0,internals 
1581,0,internals 
1038,4,internals 
1039,0,internals 
508,0,internals 
2432,1,internals 
1032,0,internals 
1033,2,internals 
503,0,internals 
8496,0,internals 
927,4,internals 
6522,1,internals 
6526,10,internals 
11060,2,internals 
11063,1,internals 
11065,0,internals 
1106,2,internals 
1107,2,internals 
1456,2,internals 
8663,8,internals 
1451,3,internals 
8668,0,internals 
1898,9,internals 
1459,2,internals 
13795,2,internals 
3860,0,internals 
3867,0,internals 
11320,0,internals 
11324,1,internals 
11325,2,internals 
12469,1,internals 
5722,0,internals 
5720,1,internals 
12463,0,internals 
7770,3,internals 
14287,0,internals 
3917,0,internals 
959,0,internals 
3915,3,internals 
11498,1,internals 
6733,48,internals 
8312,11,internals 
6737,4,internals 
4794,0,internals 
4796,0,internals 
11494,1,internals 
4152,0,internals 
5994,0,internals 
11251,0,internals 
216,3,internals 
217,0,internals 
215,1,internals 
213,0,internals 
955,0,internals 
3286,0,internals 
12077,2,internals 
6640,4,internals 
12673,0,internals 
12672,1,internals 
5904,4,internals 
10818,20,internals 
7802,1,internals 
7804,0,internals 
7808,0,internals 
13412,1,internals 
4560,1,internals 
4566,1,internals 
11671,0,internals 
9422,5,internals 
7798,0,internals 
6395,1,internals 
11475,5,internals 
9426,7,internals 
11478,2,internals 
10327,1,internals 
5017,0,internals 
10328,1,internals 
2773,0,internals 
9141,0,internals 
1859,0,internals 
13307,2,internals 
13305,0,internals 
1855,2,internals 
1856,0,internals 
1857,0,internals 
919,6,internals 
915,1,internals 
914,0,internals 
917,1,internals 
913,0,internals 
2606,4,internals 
2603,12,internals 
9729,7,internals 
10782,2,internals 
3264,2,internals 
10789,1,internals 
10031,1,internals 
844,1,internals 
7373,1,internals 
8895,3,internals 
8892,1,internals 
3469,4,internals 
3468,3,internals 
11929,7,internals 
12325,0,internals 
13233,0,internals 
1738,1,internals 
5235,0,internals 
13124,3,internals 
13125,0,internals 
3071,0,internals 
3077,0,internals 
2955,1,internals 
2950,2,internals 
5346,3,internals 
1021,0,internals 
1020,6,internals 
1023,1,internals 
1028,0,internals 
1037,0,internals 
1035,5,internals 
4365,0,internals 
1208,0,internals 
609,1,internals 
12892,0,internals 
5641,0,internals 
5643,1,internals 
14553,0,internals 
3106,1,internals 
1111,0,internals 
1443,2,internals 
8676,1,internals 
1117,4,internals 
1116,1,internals 
1119,1,internals 
1118,1,internals 
1449,4,internals 
13781,0,internals 
4858,1,internals 
5733,1,internals 
11316,2,internals 
11315,1,internals 
11314,1,internals 
482,1,internals 
480,4,internals 
12410,2,internals 
10835,2,internals 
7746,0,internals 
7744,1,internals 
7748,0,internals 
8308,3,internals 
8095,1,internals 
8094,5,internals 
12521,1,internals 
4148,17,internals 
12522,3,internals 
5828,3,internals 
4141,1,internals 
4143,0,internals 
8098,6,internals 
9930,14,internals 
9937,0,internals 
12068,1,internals 
6098,0,internals 
5961,0,internals 
12060,0,internals 
10803,5,internals 
199,1,internals 
196,3,internals 
6385,5,internals 
6381,1,internals 
6380,14,internals 
13429,0,internals 
13426,14,internals 
3670,0,internals 
3671,0,internals 
8660,1,internals 
1455,3,internals 
2387,0,internals 
2386,0,internals 
8665,1,internals 
10332,1,internals 
3582,1,internals 
3587,0,internals 
2763,0,internals 
2767,1,internals 
9480,4,internals 
9485,6,internals 
12240,0,internals 
900,3,internals 
1848,0,internals 
6275,0,internals 
12246,0,internals 
12249,0,internals 
908,0,internals 
1840,0,internals 
1844,0,internals 
4955,8,internals 
9730,15,internals 
14038,1,internals 
10028,1,internals 
7341,5,internals 
1907,0,internals 
1904,0,internals 
10797,1,internals 
1903,0,internals 
10792,9,internals 
855,1,internals 
857,0,internals 
850,9,internals 
13202,0,internals 
852,3,internals 
853,2,internals 
3458,2,internals 
6,6,internals 
10249,2,internals 
14146,1,internals 
10247,3,internals 
14143,6,internals 
5220,1,internals 
