data,count,response 
2015-10-12,1,internals 
2015-09-14,1,internals 
2015-04-20,1,internals 
2014-10-16,1,internals 
2014-07-09,1,internals 
2014-05-15,1,internals 
2011-10-27,1,internals 
2017-05-12,1,externals 
2017-05-10,1,externals 
2017-03-21,1,externals 
2016-12-16,1,externals 
2016-12-15,2,externals 
2016-12-11,1,externals 
2016-11-27,1,externals 
2016-11-26,5,externals 
2016-10-30,1,externals 
2016-09-21,1,externals 
2016-08-10,1,externals 
2016-08-07,1,externals 
2016-08-02,1,externals 
2016-07-17,1,externals 
2016-06-19,1,externals 
2016-06-16,1,externals 
2016-06-15,1,externals 
2016-06-10,1,externals 
2016-05-31,1,externals 
2016-05-28,1,externals 
2016-05-10,1,externals 
2016-04-15,1,externals 
2016-03-30,2,externals 
2016-03-22,1,externals 
2016-03-13,1,externals 
2016-02-03,1,externals 
2016-01-02,1,externals 
2015-11-25,1,externals 
2015-11-20,1,externals 
2015-10-27,1,externals 
2015-10-12,1,externals 
2015-09-22,1,externals 
2015-09-15,1,externals 
2015-09-02,1,externals 
2015-08-13,1,externals 
2015-07-02,1,externals 
2015-06-26,1,externals 
2015-06-03,1,externals 
2015-05-17,1,externals 
2015-05-08,1,externals 
2015-05-07,1,externals 
2015-05-01,1,externals 
2015-04-29,1,externals 
2015-04-19,1,externals 
2015-04-14,1,externals 
2015-04-06,1,externals 
2015-03-27,1,externals 
2015-03-26,2,externals 
2015-03-18,1,externals 
2015-03-17,1,externals 
2015-03-16,1,externals 
2015-03-15,1,externals 
2015-02-12,1,externals 
2015-02-08,1,externals 
2014-12-27,1,externals 
2014-11-21,1,externals 
2014-10-29,1,externals 
2014-10-16,1,externals 
2014-10-14,1,externals 
2014-10-05,1,externals 
2014-09-25,1,externals 
2014-09-24,1,externals 
2014-09-23,1,externals 
2014-09-20,1,externals 
2014-09-08,1,externals 
2014-09-02,1,externals 
2014-08-15,1,externals 
2014-07-01,1,externals 
2014-06-27,2,externals 
2014-06-24,1,externals 
2014-06-18,1,externals 
2014-06-12,1,externals 
2014-06-05,1,externals 
2014-06-04,1,externals 
2014-05-14,1,externals 
2014-04-28,1,externals 
2014-04-17,3,externals 
2014-04-16,2,externals 
2014-04-01,1,externals 
2014-03-25,1,externals 
2014-03-22,1,externals 
2014-03-13,1,externals 
2014-02-24,1,externals 
2014-02-20,1,externals 
2014-02-15,1,externals 
2014-02-14,1,externals 
2014-02-10,1,externals 
2014-01-20,1,externals 
2014-01-15,1,externals 
2013-12-31,1,externals 
2013-12-08,2,externals 
2013-12-01,1,externals 
2013-10-31,1,externals 
2013-08-19,1,externals 
2013-08-15,1,externals 
2013-08-10,1,externals 
2013-08-09,1,externals 
2013-07-26,1,externals 
2013-07-23,1,externals 
2013-07-22,1,externals 
2013-07-08,1,externals 
2013-06-22,1,externals 
2013-06-07,1,externals 
2013-06-02,1,externals 
2013-05-01,1,externals 
2013-04-07,1,externals 
2013-04-06,1,externals 
2013-04-05,1,externals 
2013-04-03,1,externals 
2013-03-28,1,externals 
2013-03-24,1,externals 
2013-03-15,1,externals 
2013-03-14,1,externals 
2013-02-27,1,externals 
2013-02-14,2,externals 
2013-01-31,1,externals 
2013-01-11,1,externals 
2013-01-10,1,externals 
2012-12-21,1,externals 
2012-12-15,1,externals 
2012-12-14,1,externals 
2012-11-05,1,externals 
2012-10-21,1,externals 
2012-09-13,1,externals 
2012-08-28,1,externals 
2012-08-23,1,externals 
2012-08-22,1,externals 
2012-07-28,1,externals 
2012-05-31,1,externals 
2012-05-30,1,externals 
2012-04-14,1,externals 
2012-03-30,1,externals 
2012-03-28,1,externals 
2012-03-09,1,externals 
2012-01-04,1,externals 
2011-12-14,1,externals 
2011-12-01,1,externals 
2011-11-27,2,externals 
2011-11-26,1,externals 
2011-11-10,1,externals 
2011-11-06,1,externals 
2011-11-01,2,externals 
2011-10-31,1,externals 
2011-10-30,3,externals 
2011-10-29,1,externals 
2011-10-28,5,externals 
2011-10-27,3,externals 
2011-10-26,8,externals 
2011-10-25,1,externals 
